scheduled_time,location,booked,recruiter_id,user_id
"Tue, 8 Sept 2015 16:00:00 UTC 00:00",Gates Hall,TRUE,1,23
"Tue, 8 Sept 2015 16:30:00 UTC 00:00",Gates Hall,TRUE,1,24
"Wed, 26 Aug 2015 08:00:00 UTC 00:00",Gates Hall,TRUE,1,25
"Wed, 26 Aug 2015 08:30:00 UTC 00:00",Gates Hall,FALSE,1,
"Wed, 26 Aug 2015 09:00:00 UTC 00:00",Gates Hall,FALSE,1,
"Wed, 26 Aug 2015 09:30:00 UTC 00:00",Gates Hall,FALSE,1,
"Wed, 26 Aug 2015 10:00:00 UTC 00:00",Gates Hall,TRUE,1,26
"Wed, 26 Aug 2015 10:30:00 UTC 00:00",Gates Hall,TRUE,1,27
"Wed, 26 Aug 2015 11:00:00 UTC 00:00",Gates Hall,FALSE,1,
"Wed, 26 Aug 2015 11:30:00 UTC 00:00",Gates Hall,TRUE,1,28
"Wed, 26 Aug 2015 12:00:00 UTC 00:00",Gates Hall,TRUE,1,29
"Wed, 26 Aug 2015 12:30:00 UTC 00:00",Gates Hall,TRUE,1,30
"Wed, 26 Aug 2015 13:00:00 UTC 00:00",Gates Hall,FALSE,1,
"Wed, 26 Aug 2015 13:30:00 UTC 00:00",Gates Hall,FALSE,1,
"Wed, 26 Aug 2015 14:00:00 UTC 00:00",Gates Hall,TRUE,1,31
"Wed, 26 Aug 2015 14:30:00 UTC 00:00",Gates Hall,TRUE,1,32
"Wed, 26 Aug 2015 15:00:00 UTC 00:00",Gates Hall,TRUE,1,33
"Wed, 26 Aug 2015 15:30:00 UTC 00:00",Gates Hall,TRUE,1,34
"Wed, 26 Aug 2015 16:00:00 UTC 00:00",Gates Hall,TRUE,1,35
"Wed, 26 Aug 2015 16:30:00 UTC 00:00",Gates Hall,TRUE,1,36
"Thu, 27 Aug 2015 08:00:00 UTC 00:00",Gates Hall,FALSE,1,
"Thu, 27 Aug 2015 08:30:00 UTC 00:00",Gates Hall,TRUE,1,37
"Thu, 27 Aug 2015 09:00:00 UTC 00:00",Gates Hall,FALSE,1,
"Thu, 27 Aug 2015 09:30:00 UTC 00:00",Gates Hall,FALSE,1,
"Thu, 27 Aug 2015 10:00:00 UTC 00:00",Gates Hall,TRUE,1,38
"Thu, 27 Aug 2015 10:30:00 UTC 00:00",Gates Hall,TRUE,1,39
"Thu, 27 Aug 2015 11:00:00 UTC 00:00",Gates Hall,TRUE,1,40
"Thu, 27 Aug 2015 11:30:00 UTC 00:00",Gates Hall,TRUE,1,41
"Thu, 27 Aug 2015 12:00:00 UTC 00:00",Gates Hall,TRUE,1,42
"Thu, 27 Aug 2015 12:30:00 UTC 00:00",Gates Hall,TRUE,1,43
"Thu, 27 Aug 2015 13:00:00 UTC 00:00",Gates Hall,FALSE,1,
"Thu, 27 Aug 2015 13:30:00 UTC 00:00",Gates Hall,FALSE,1,
"Thu, 27 Aug 2015 14:00:00 UTC 00:00",Gates Hall,TRUE,1,44
"Thu, 27 Aug 2015 14:30:00 UTC 00:00",Gates Hall,TRUE,1,0
"Thu, 27 Aug 2015 15:00:00 UTC 00:00",Gates Hall,FALSE,1,
"Thu, 27 Aug 2015 15:30:00 UTC 00:00",Gates Hall,TRUE,1,1
"Thu, 27 Aug 2015 16:00:00 UTC 00:00",Gates Hall,TRUE,1,2
"Thu, 27 Aug 2015 16:30:00 UTC 00:00",Gates Hall,TRUE,1,3
"Fri, 4 Sept 2015 08:00:00 UTC 00:00",Gates Hall,TRUE,1,4
"Fri, 4 Sept 2015 08:30:00 UTC 00:00",Gates Hall,TRUE,1,5
"Fri, 4 Sept 2015 09:00:00 UTC 00:00",Gates Hall,TRUE,1,6
"Fri, 4 Sept 2015 09:30:00 UTC 00:00",Gates Hall,FALSE,1,
"Fri, 4 Sept 2015 10:00:00 UTC 00:00",Gates Hall,TRUE,1,7
"Fri, 4 Sept 2015 10:30:00 UTC 00:00",Gates Hall,TRUE,1,8
"Fri, 4 Sept 2015 11:00:00 UTC 00:00",Gates Hall,FALSE,1,
"Fri, 4 Sept 2015 11:30:00 UTC 00:00",Gates Hall,TRUE,1,9
"Fri, 4 Sept 2015 12:00:00 UTC 00:00",Gates Hall,FALSE,1,10
"Fri, 4 Sept 2015 12:30:00 UTC 00:00",Gates Hall,TRUE,1,11
"Fri, 4 Sept 2015 13:00:00 UTC 00:00",Gates Hall,FALSE,1,
"Fri, 4 Sept 2015 13:30:00 UTC 00:00",Gates Hall,TRUE,1,12
"Fri, 4 Sept 2015 14:00:00 UTC 00:00",Gates Hall,FALSE,1,
"Fri, 4 Sept 2015 14:30:00 UTC 00:00",Gates Hall,TRUE,1,13
"Fri, 4 Sept 2015 15:00:00 UTC 00:00",Gates Hall,FALSE,1,14
"Fri, 4 Sept 2015 15:30:00 UTC 00:00",Gates Hall,TRUE,1,
"Fri, 4 Sept 2015 16:00:00 UTC 00:00",Gates Hall,FALSE,1,15
"Fri, 4 Sept 2015 16:30:00 UTC 00:00",Gates Hall,TRUE,1,16
"Sat, 5 Sept 2015 08:00:00 UTC 00:00",Gates Hall,TRUE,1,1
"Sat, 5 Sept 2015 08:30:00 UTC 00:00",Gates Hall,TRUE,1,2
"Sat, 5 Sept 2015 09:00:00 UTC 00:00",Gates Hall,FALSE,1,
"Sat, 5 Sept 2015 09:30:00 UTC 00:00",Gates Hall,TRUE,1,3
"Sat, 5 Sept 2015 10:00:00 UTC 00:00",Gates Hall,FALSE,1,
"Sat, 5 Sept 2015 10:30:00 UTC 00:00",Gates Hall,TRUE,1,4
"Sat, 5 Sept 2015 11:00:00 UTC 00:00",Gates Hall,TRUE,1,5
"Sat, 5 Sept 2015 11:30:00 UTC 00:00",Gates Hall,TRUE,1,6
"Sat, 5 Sept 2015 12:00:00 UTC 00:00",Gates Hall,TRUE,1,7
"Sat, 5 Sept 2015 12:30:00 UTC 00:00",Gates Hall,FALSE,1,
"Sat, 5 Sept 2015 13:00:00 UTC 00:00",Gates Hall,TRUE,1,8
"Sat, 5 Sept 2015 13:30:00 UTC 00:00",Gates Hall,TRUE,1,9
"Sat, 5 Sept 2015 14:00:00 UTC 00:00",Gates Hall,FALSE,1,
"Sat, 5 Sept 2015 14:30:00 UTC 00:00",Gates Hall,TRUE,1,10
"Sat, 5 Sept 2015 15:00:00 UTC 00:00",Gates Hall,TRUE,1,11
"Sat, 5 Sept 2015 15:30:00 UTC 00:00",Gates Hall,TRUE,1,12
"Sat, 5 Sept 2015 16:00:00 UTC 00:00",Gates Hall,TRUE,1,13
"Sat, 5 Sept 2015 16:30:00 UTC 00:00",Gates Hall,TRUE,1,14
"Sun, 6 Sept 2015 08:00:00 UTC 00:00",Gates Hall,FALSE,1,
"Sun, 6 Sept 2015 08:30:00 UTC 00:00",Gates Hall,FALSE,1,
"Sun, 6 Sept 2015 09:00:00 UTC 00:00",Gates Hall,FALSE,1,
"Sun, 6 Sept 2015 09:30:00 UTC 00:00",Gates Hall,FALSE,1,
"Sun, 6 Sept 2015 10:00:00 UTC 00:00",Gates Hall,TRUE,1,15
"Sun, 6 Sept 2015 10:30:00 UTC 00:00",Gates Hall,TRUE,1,16
"Sun, 6 Sept 2015 11:00:00 UTC 00:00",Gates Hall,TRUE,1,17
"Sun, 6 Sept 2015 11:30:00 UTC 00:00",Gates Hall,FALSE,1,
"Sun, 6 Sept 2015 12:00:00 UTC 00:00",Gates Hall,FALSE,1,
"Sun, 6 Sept 2015 12:30:00 UTC 00:00",Gates Hall,TRUE,1,18
"Sun, 6 Sept 2015 13:00:00 UTC 00:00",Gates Hall,TRUE,1,19
"Sun, 6 Sept 2015 13:30:00 UTC 00:00",Gates Hall,FALSE,1,
"Sun, 6 Sept 2015 14:00:00 UTC 00:00",Gates Hall,TRUE,1,20
"Sun, 6 Sept 2015 14:30:00 UTC 00:00",Gates Hall,FALSE,1,
"Sun, 6 Sept 2015 15:00:00 UTC 00:00",Gates Hall,TRUE,1,21
"Sun, 6 Sept 2015 15:30:00 UTC 00:00",Gates Hall,TRUE,1,22
"Sun, 6 Sept 2015 16:00:00 UTC 00:00",Gates Hall,TRUE,1,23
"Sun, 6 Sept 2015 16:30:00 UTC 00:00",Gates Hall,TRUE,1,24
